date,sku_id,warehouse_id,supplier_id,region,units_sold,inventory_level,supplier_lead_time_days,reorder_point,order_quantity,unit_cost,unit_price,promotion_flag,stockout_flag,demand_forecast,year,month,day,day_of_week,is_weekend,monthly_avg_sales,sales_to_inventory_ratio,inventory_vs_reorder_gap,depletion_rate,days_until_reorder,stockout_risk,demand_std,safety_stock,lead_time_demand,calculated_reorder_point,reorder_point_diff
2024-02-14,SKU_1,WH_1,SUP_8,East,23.0,377.0,14.0,379,0.0,13.95,20.48,0,0,22.03,2024,2,14,2,0,26.479166666666668,0.061007957559519876,-2.0,0.882638888888889,-2.2659323341754973,1,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-15,SKU_1,WH_1,SUP_8,South,21.0,699.0,14.0,379,343.0,13.95,20.48,0,0,23.22,2024,2,15,3,0,26.479166666666668,0.030042918454892643,320.0,0.882638888888889,362.5491734680796,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-16,SKU_1,WH_1,SUP_8,North,23.0,676.0,14.0,379,0.0,13.95,20.48,1,0,23.36,2024,2,16,4,0,26.479166666666668,0.03402366863900293,297.0,0.882638888888889,336.49095162506137,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-17,SKU_1,WH_1,SUP_8,East,20.0,656.0,14.0,379,0.0,13.95,20.48,0,0,23.57,2024,2,17,5,1,26.479166666666668,0.030487804878002307,277.0,0.882638888888889,313.8316282833064,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-18,SKU_1,WH_1,SUP_8,South,28.0,628.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,2,18,6,1,26.479166666666668,0.0445859872610755,249.0,0.882638888888889,282.1085756048494,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-19,SKU_1,WH_1,SUP_8,??UNKNOWN??,24.0,604.0,14.0,379,0.0,13.95,20.48,0,0,24.7,2024,2,19,0,0,26.479166666666668,0.03973509933768256,225.0,0.882638888888889,254.91738759474347,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-20,SKU_1,WH_1,SUP_8,West,31.0,573.0,14.0,379,0.0,13.95,20.48,0,0,36.37,2024,2,20,1,0,26.479166666666668,0.05410122164039424,194.0,0.882638888888889,219.79543641502326,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-21,SKU_1,WH_1,SUP_8,South,28.0,545.0,14.0,379,0.0,13.95,20.48,0,0,24.35,2024,2,21,2,0,26.479166666666668,0.05137614678889656,166.0,0.882638888888889,188.07238373656628,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-22,SKU_1,WH_1,SUP_8,West,27.0,518.0,14.0,379,0.0,13.95,20.48,0,0,25.85,2024,2,22,3,0,26.479166666666668,0.0521235521234515,139.0,0.882638888888889,157.48229722519707,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-23,SKU_1,WH_1,SUP_8,North,32.0,486.0,14.0,379,0.0,13.95,20.48,0,0,33.24,2024,2,23,4,0,26.479166666666668,0.06584362139904147,107.0,0.882638888888889,121.22737987838912,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-24,SKU_1,WH_1,SUP_8,South,31.0,455.0,14.0,379,0.0,13.95,20.48,0,0,40.18,2024,2,24,5,1,26.479166666666668,0.0681318681317184,76.0,0.882638888888889,86.1054286986689,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-25,SKU_1,WH_1,SUP_8,North,32.0,423.0,14.0,379,0.0,13.95,20.48,0,0,31.28,2024,2,25,6,1,26.479166666666668,0.07565011820313085,44.0,0.882638888888889,49.850511351860945,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-26,SKU_1,WH_1,SUP_8,East,34.0,389.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,2,26,0,0,26.479166666666668,0.08740359897149767,10.0,0.882638888888889,11.329661670877487,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-27,SKU_1,WH_1,SUP_8,East,31.0,358.0,14.0,379,0.0,13.95,20.48,0,0,28.43,2024,2,27,1,0,26.479166666666668,0.08659217877070785,-21.0,0.882638888888889,-23.792289508842725,1,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-28,SKU_1,WH_1,SUP_8,North,28.0,575.0,14.0,379,245.0,13.95,20.48,0,0,28.57,2024,2,28,2,0,26.479166666666668,0.048695652173828353,196.0,0.882638888888889,222.06136874919875,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-02-29,SKU_1,WH_1,SUP_8,East,31.0,544.0,14.0,379,0.0,13.95,20.48,0,0,25.17,2024,2,29,3,0,26.479166666666668,0.05698529411754231,165.0,0.882638888888889,186.93941756947854,0,11.338345202442218,18.708269584029658,12.356944444444446,31.065214028474102,-347.9347859715259
2024-03-01,SKU_1,WH_1,SUP_8,North,33.0,511.0,14.0,379,0.0,13.95,20.48,1,0,35.33,2024,3,1,4,0,35.857142857142854,0.0645792563599519,132.0,1.1952380952380952,110.43824691955365,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-02,SKU_1,WH_1,SUP_8,South,20.0,483.0,14.0,379,0.0,13.95,20.48,0,0,22.75,2024,3,2,5,1,35.857142857142854,0.041407867494738286,104.0,1.1952380952380952,87.01195211843621,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-03,SKU_1,WH_1,SUP_8,West,29.0,454.0,14.0,379,0.0,13.95,20.48,0,0,30.16,2024,3,3,6,1,35.857142857142854,0.06387665198223816,75.0,1.1952380952380952,62.74900393156457,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-04,SKU_1,WH_1,SUP_8,East,32.0,422.0,14.0,379,0.0,13.95,20.48,0,0,28.76,2024,3,4,0,0,35.857142857142854,0.07582938388607624,43.0,1.1952380952380952,35.97609558743036,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-05,SKU_1,WH_1,SUP_8,North,34.0,388.0,14.0,379,0.0,13.95,20.48,0,0,34.15,2024,3,5,1,0,35.857142857142854,0.0876288659791556,9.0,1.1952380952380952,7.529880471787749,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-06,SKU_1,WH_1,SUP_8,East,31.0,357.0,9.0,379,0.0,13.95,20.48,0,0,28.82,2024,3,6,2,0,35.857142857142854,0.0868347338933142,-22.0,1.1952380952380952,-18.406374486592277,1,11.338345202442218,18.708269584029658,10.757142857142856,29.465412441172514,-349.53458755882747
2024-03-07,SKU_1,WH_1,SUP_8,West,31.0,538.0,14.0,379,212.0,13.95,20.48,0,0,32.54,2024,3,7,3,0,35.857142857142854,0.05762081784375907,159.0,1.1952380952380952,133.0278883349169,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-08,SKU_1,WH_1,SUP_8,North,36.0,502.0,14.0,379,0.0,13.95,20.48,0,0,36.02,2024,3,8,4,0,35.857142857142854,0.07171314741021571,123.0,1.1952380952380952,102.9083664477659,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-09,SKU_1,WH_1,SUP_8,East,26.0,476.0,14.0,379,0.0,13.95,20.48,0,0,25.62,2024,3,9,5,1,35.857142857142854,0.05462184873938105,97.0,1.1952380952380952,81.15537841815686,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-10,SKU_1,WH_1,SUP_8,East,20.0,451.0,14.0,379,0.0,13.95,20.48,0,0,24.29,2024,3,10,6,1,35.857142857142854,0.04434589800433626,72.0,1.1952380952380952,60.23904377430199,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-11,SKU_1,WH_1,SUP_8,North,24.0,427.0,14.0,379,0.0,13.95,20.48,0,0,22.63,2024,3,11,0,0,35.857142857142854,0.05620608899284261,48.0,1.1952380952380952,40.15936251620133,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-12,SKU_1,WH_1,SUP_8,West,20.0,400.0,14.0,379,0.0,13.95,20.48,0,0,27.24,2024,3,12,1,0,35.857142857142854,0.049999999999875,21.0,1.1952380952380952,17.56972110083808,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-13,SKU_1,WH_1,SUP_8,North,31.0,369.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,3,13,2,0,35.857142857142854,0.08401084010817342,-10.0,1.1952380952380952,-8.366533857541944,1,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-14,SKU_1,WH_1,SUP_8,East,25.0,548.0,14.0,379,204.0,13.95,20.48,0,0,27.04,2024,3,14,3,0,35.857142857142854,0.04562043795612113,169.0,1.1952380952380952,141.39442219245885,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-15,SKU_1,WH_1,SUP_8,East,29.0,519.0,14.0,379,0.0,13.95,20.48,0,0,27.05,2024,3,15,4,0,35.857142857142854,0.05587668593438174,140.0,1.1952380952380952,117.13147400558721,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-16,SKU_1,WH_1,SUP_8,East,20.0,490.0,14.0,379,0.0,13.95,20.48,0,0,27.54,2024,3,16,5,1,35.857142857142854,0.04081632653052895,111.0,1.1952380952380952,92.86852581871557,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-17,SKU_1,WH_1,SUP_8,South,25.0,465.0,14.0,379,0.0,13.95,20.48,0,0,20.15,2024,3,17,6,1,35.857142857142854,0.05376344086009943,86.0,1.1952380952380952,71.95219117486072,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-18,SKU_1,WH_1,SUP_8,South,27.0,438.0,14.0,379,0.0,13.95,20.48,1,0,25.97,2024,3,18,0,0,35.857142857142854,0.06164383561629762,59.0,1.1952380952380952,49.36254975949747,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-19,SKU_1,WH_1,SUP_8,West,23.0,415.0,14.0,379,0.0,13.95,20.48,0,0,25.75,2024,3,19,1,0,35.857142857142854,0.05542168674685441,36.0,1.1952380952380952,30.119521887150995,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-20,SKU_1,WH_1,SUP_8,North,25.0,390.0,14.0,379,0.0,13.95,20.48,0,0,30.77,2024,3,20,2,0,35.857142857142854,0.06410256410239974,11.0,1.1952380952380952,9.203187243296139,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-21,SKU_1,WH_1,SUP_8,??UNKNOWN??,26.0,364.0,14.0,379,0.0,13.95,20.48,0,0,22.16,2024,3,21,3,0,35.857142857142854,0.07142857142837519,-15.0,1.1952380952380952,-12.549800786312915,1,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-22,SKU_1,WH_1,SUP_8,North,26.0,584.0,14.0,379,246.0,13.95,20.48,0,0,25.21,2024,3,22,4,0,35.857142857142854,0.044520547945129246,205.0,1.1952380952380952,171.51394407960984,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-23,SKU_1,WH_1,SUP_8,South,27.0,557.0,14.0,379,0.0,13.95,20.48,0,0,30.29,2024,3,23,5,1,35.857142857142854,0.04847396768393452,178.0,1.1952380952380952,148.9243026642466,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-24,SKU_1,WH_1,SUP_8,North,38.0,519.0,14.0,379,0.0,13.95,20.48,0,0,33.71,2024,3,24,6,1,35.857142857142854,0.07321772639677608,140.0,1.1952380952380952,117.13147400558721,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-25,SKU_1,WH_1,SUP_8,West,29.0,490.0,14.0,379,0.0,13.95,20.48,0,0,31.27,2024,3,25,0,0,35.857142857142854,0.05918367346926697,111.0,1.1952380952380952,92.86852581871557,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-26,SKU_1,WH_1,SUP_8,West,28.0,462.0,14.0,379,0.0,13.95,20.48,0,0,28.18,2024,3,26,1,0,35.857142857142854,0.06060606060592943,83.0,1.1952380952380952,69.44223101759813,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-27,SKU_1,WH_1,SUP_8,East,33.0,429.0,9.0,379,0.0,13.95,20.48,0,0,36.1,2024,3,27,2,0,35.857142857142854,0.07692307692289761,50.0,1.1952380952380952,41.83266928770972,0,11.338345202442218,18.708269584029658,10.757142857142856,29.465412441172514,-349.53458755882747
2024-03-28,SKU_1,WH_1,SUP_8,North,40.0,389.0,14.0,379,0.0,13.95,20.48,0,0,34.14,2024,3,28,3,0,35.857142857142854,0.10282776349587962,10.0,1.1952380952380952,8.366533857541944,0,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
2024-03-29,SKU_1,WH_1,SUP_8,East,32.0,357.0,14.0,379,0.0,13.95,20.48,0,0,35.18,2024,3,29,4,0,35.857142857142854,0.08963585434148562,-22.0,1.1952380952380952,-18.406374486592277,1,11.338345202442218,18.708269584029658,16.733333333333334,35.44160291736299,-343.558397082637
